Date : 2025-06-09 15:55:49
Directory : /home/kapusta/Документы/programming_tasks
Total : 76 files,  2501 codes, 130 comments, 204 blanks, all 2835 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         74 |      2,508 |        130 |        207 |      2,845 |
| Python   |          2 |         -7 |          0 |         -3 |        -10 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                          | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                             |         76 |      2,501 |        130 |        204 |      2,835 |
| . (Files)                                                                     |          1 |         -9 |          0 |         -3 |        -12 |
| CodeForcesRound                                                               |         48 |      1,842 |        102 |        150 |      2,094 |
| CodeForcesRound/nar                                                           |         48 |      1,842 |        102 |        150 |      2,094 |
| CodeForcesRound/nar (Files)                                                   |         29 |      1,151 |         51 |        101 |      1,303 |
| CodeForcesRound/nar/dp                                                        |         19 |        691 |         51 |         49 |        791 |
| CodeForcesRound/nar/dp (Files)                                                |         15 |        545 |         41 |         37 |        623 |
| CodeForcesRound/nar/dp/mesh                                                   |          4 |        146 |         10 |         12 |        168 |
| CodeForcesRound/nar/dp/mesh/1                                                 |          3 |         99 |          3 |          8 |        110 |
| CodeForcesRound/nar/dp/mesh/2                                                 |          1 |         47 |          7 |          4 |         58 |
| inform                                                                        |         22 |        493 |          6 |         44 |        543 |
| inform/101                                                                    |          6 |         72 |          0 |         10 |         82 |
| inform/25ap                                                                   |          5 |         97 |          0 |         10 |        107 |
| inform/dd                                                                     |          6 |        200 |          0 |         12 |        212 |
| inform/dd2                                                                    |          1 |          7 |          0 |          3 |         10 |
| inform/start4                                                                 |          4 |        117 |          6 |          9 |        132 |
| tinkoff                                                                       |          5 |        175 |         22 |         13 |        210 |
| tinkoff/muniki                                                                |          5 |        175 |         22 |         13 |        210 |
| tinkoff/muniki/9                                                              |          5 |        175 |         22 |         13 |        210 |
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                      | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1360F.cpp       | C++      |         62 |         15 |          6 |         83 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1509C.cpp       | C++      |         32 |          0 |          2 |         34 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1913B.cpp       | C++      |         25 |          0 |          3 |         28 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1913C.cpp       | C++      |         39 |          6 |          2 |         47 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1914C.cpp       | C++      |         29 |          0 |          3 |         32 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1914D.cpp       | C++      |         55 |         11 |          6 |         72 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1914E.cpp       | C++      |         45 |          0 |          3 |         48 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1914F.cpp       | C++      |         69 |          1 |          7 |         77 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1919C.cpp       | C++      |         80 |          0 |          4 |         84 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1950A.cpp       | C++      |         21 |          0 |          3 |         24 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1950B.cpp       | C++      |         24 |          0 |          3 |         27 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1950C.cpp       | C++      |         24 |          0 |          3 |         27 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1950D.cpp       | C++      |         41 |          0 |          3 |         44 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1950E.cpp       | C++      |         59 |          7 |          3 |         69 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1950F.cpp       | C++      |         50 |          0 |          3 |         53 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2091A.cpp       | C++      |         33 |          0 |          3 |         36 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2091B.cpp       | C++      |         29 |          0 |          3 |         32 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2091C.cpp       | C++      |         28 |          0 |          3 |         31 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2091D.cpp       | C++      |         28 |          0 |          4 |         32 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2091E.cpp       | C++      |         56 |          0 |          4 |         60 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2091F.cpp       | C++      |         67 |         11 |          3 |         81 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2091G.cpp       | C++      |         29 |          0 |          5 |         34 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2092A.cpp       | C++      |         24 |          0 |          3 |         27 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2092B.cpp       | C++      |         34 |          0 |          3 |         37 |
