"filename", "language", "C++", "Python", "comment", "blank", "total"
"/home/kapusta/Документы/programming_tasks/belchonok/a.cpp", "C++", 23, 0, 1, 2, 26
"/home/kapusta/Документы/programming_tasks/belchonok/a.py", "Python", 0, 16, 0, 1, 17
"/home/kapusta/Документы/programming_tasks/belchonok/b.cpp", "C++", 41, 0, 1, 3, 45
"/home/kapusta/Документы/programming_tasks/tinkoff/dynamic/j5.cpp", "C++", 4, 0, 17, 0, 21
"/home/kapusta/Документы/programming_tasks/tinkoff/dynamic/j6.cpp", "C++", 2, 0, 0, 1, 3
"/home/kapusta/Документы/programming_tasks/tinkoff/dynamic2/a.cpp", "C++", 27, 0, 0, 1, 28
"/home/kapusta/Документы/programming_tasks/tinkoff/dynamic2/b.cpp", "C++", 35, 0, 0, 1, 36
"/home/kapusta/Документы/programming_tasks/tinkoff/dynamic2/c.cpp", "C++", 28, 0, 0, 1, 29
"/home/kapusta/Документы/programming_tasks/tinkoff/dynamic2/d.cpp", "C++", 41, 0, 5, 2, 48
"/home/kapusta/Документы/programming_tasks/tinkoff/dynamic2/e.cpp", "C++", 41, 0, 6, 1, 48
"Total", "-", 242, 16, 30, 13, 301
